Nodes,Speed,TxPackets,RxPackets,PDR(%),Throughput(Kbps),Delay(s),RoutingOverhead,NRL
20,5.0,1196,218,18.23,9.43,0.13169,2167,9.94
20,15.0,1196,133,11.12,6.64,2.08846,2093,15.74
20,30.0,1196,110,9.20,4.88,0.04500,2863,26.03
20,40.0,1196,43,3.60,2.08,0.12619,2299,53.47
40,5.0,1196,904,75.59,38.96,0.00791,4267,4.72
40,15.0,1196,350,29.26,15.54,0.12020,5331,15.23
40,30.0,1196,103,8.61,5.89,0.00298,7776,75.50
40,40.0,1196,180,15.05,8.30,0.06289,7675,42.64
60,5.0,1196,339,28.34,15.27,0.02758,7662,22.60
60,15.0,1196,221,18.48,13.73,0.57366,11163,50.51
60,30.0,1196,303,25.33,13.17,0.85714,19713,65.06
60,40.0,1196,139,11.62,6.78,0.70134,24552,176.63
